1843	3311152,329566	8066144,604631	14,971544
72	892473,246173	5401140,749072	411,084562
1797	6612699,271311	6003594,886775	813,505054
1779	3588933,655718	3893289,463291	449,773708
1550	4337476,467612	2337264,544298	784,082007
1874	1082519,070814	4731305,675779	883,676776
1984	1622685,630208	8789611,901598	104,633674
743	635734,376746	5770301,687769	269,092069
170	8275058,814124	6685299,455040	656,355642
126	3522715,328616	4139979,367473	283,332313
845	1756743,933816	4573438,691114	667,505543
419	3465856,340320	7036198,365348	442,784562
876	5564717,365767	3037945,501145	474,378796
779	4343804,865398	6532064,008437	316,630131
832	8024940,059998	7678054,504142	741,784436
60	3357151,706680	7726523,082033	302,956057
564	3021324,434969	6274285,794058	219,670272
24	9676242,225030	3247496,247785	865,221025
1979	6214919,712491	405179,559974	494,252864
278	3155170,110420	3890324,206415	601,449929
875	1649329,263309	7184530,886496	396,540515
254	3053152,342818	4264046,949585	245,460732
57	5029562,697233	7422843,358681	768,487379
357	1893947,275922	2437632,635633	21,352648
341	4094631,620357	87838,154527	949,157028
369	4887858,650587	9343936,658763	243,578923
1880	255567,182960	5232808,299203	206,561489
1214	8336652,054435	2064763,094387	266,256282
642	2196709,864614	64078,432732	20,638672
565	6387782,079609	8974452,352602	131,985595
408	5583875,725773	4689568,124591	45,501580
1428	3678039,701345	1949811,629197	896,222173
1926	7193835,771739	3029979,632516	373,691145
360	2986608,099317	7081458,762361	996,254174
295	2075284,160583	1807081,826779	929,697816
958	7797219,594452	5123660,726215	142,420565
1331	4451461,754328	8879022,365018	676,756318
779	8314628,178874	914945,838962	667,863550
945	2603410,633718	904008,659264	922,409165
1470	83271,478377	1318331,583664	180,856908
646	223232,368153	6722601,702326	651,863626
1711	4322808,316619	7073642,084993	458,824359
651	4666085,347275	7550977,720661	734,010202
522	5955714,942964	2372919,427622	139,243492
1383	9172717,164960	1191520,848883	250,176565
1248	8209019,521766	2820568,558224	97,151501
1490	7122438,857989	5883277,491952	248,482453
1622	9517273,477155	3665537,443122	78,182152
671	3949378,779378	43376,853856	266,645931
1920	1757310,969511	484684,539263	479,369920
1750	536445,811928	3902954,122209	229,575932
1435	8166730,758029	1154115,321817	616,055665
1195	7815127,108759	3103733,511552	258,178440
24	6507115,433865	5971317,766881	737,640973
804	1594050,417612	6803406,010063	399,316100
1264	3929890,725527	8946287,932008	256,275124
1514	8690432,610903	1285614,429016	949,239382
1188	6891587,824370	9664210,647855	951,569912
1785	8709124,555438	116756,162563	978,950484
1377	1923930,169383	2124691,816616	891,355135
1809	6011561,300884	7863325,501813	481,279924
1613	5184895,995340	5387523,689777	359,517745
680	4230716,571384	3304621,342799	371,141474
1807	9488479,800186	4675089,040508	666,170750
1266	7343,971205	9007445,241497	289,847440
164	1663371,644236	3025335,602407	123,447297
808	6065601,857588	558201,945893	324,027210
1578	5506582,768429	960212,640570	951,102135
1718	1821499,828241	9939546,932979	427,322762
511	1304958,542145	2683997,398248	165,095260
1734	1734699,551435	1819264,524804	586,878314
478	7183493,287169	3009861,089251	7,842498
1415	8084351,048999	2823151,877847	279,975823
1267	578174,858361	4768420,968702	103,927334
1298	6870408,935086	1233704,343529	416,003544
227	1643301,351111	1509760,312026	93,696235
944	1149103,069677	449379,903738	170,647058
965	9154648,644060	9409359,384108	812,342876
938	8351197,674380	1971346,053645	550,945557
1052	3803394,312668	4450630,431056	731,292265
439	5772660,252497	5104172,259675	370,656245
926	897691,014449	8801323,975933	508,993450
1575	4384475,420035	6703678,811074	273,795409
1440	8531757,771521	1847595,781132	656,658489
853	5468689,310117	4475304,783638	628,952479
1500	6815105,841308	2695541,474167	490,742312
745	3579371,322157	2563875,914489	752,670983
1895	7509778,581416	5235598,684431	531,947936
1868	3795191,026621	4465353,337076	924,628249
95	8645101,447518	5638763,829093	79,471228
1708	8362321,392842	5334560,495411	34,522951
1071	7480099,254184	5259792,740406	532,786919
748	5683929,043777	7247097,948704	13,503888
1704	8744373,767750	8120031,170677	91,988266
1319	485061,307177	3000738,733304	187,928583
1047	884775,140988	9113823,696629	916,121395
1549	4683893,541734	8630578,524083	522,604516
90	598424,338014	9714980,588046	744,904780
470	8439063,536908	7376889,919708	984,529520
1335	7547821,591247	2160961,217206	800,684623
714	2391966,307237	3877486,383078	232,436110
671	1782519,795274	4921040,491346	917,690779
441	4320677,463994	5196623,504158	15,523747
1148	4978823,033988	6766151,329840	964,269024
273	4562662,906544	1440771,597714	19,611036
1534	1156389,820918	8620409,430984	650,053591
1626	7569170,073205	4989552,088611	489,227729
460	2096119,297993	7866757,576883	959,983874
156	1025257,160340	9255454,974659	875,724401
